kind	DAT ID	name ID	help ID	description ID
object	0	5000	105000	0
object	1	5000	105000	0
object	3	5007	105007	0
object	4	5083	105083	0
object	5	5086	105086	0
object	6	5087	105087	0
object	7	5088	105088	0
object	8	5107	105107	0
object	9	5067	105067	0
object	10	5128	105128	0
object	11	5108	105108	0
object	12	5135	105135	0
object	13	5090	105090	0
object	14	5128	105128	0
object	15	5092	105092	0
object	16	5009	105009	0
object	17	5089	105089	0
object	18	5131	105131	0
object	19	5131	105131	0
object	20	5135	105135	0
object	21	5091	105091	0
object	22	5010	105010	0
object	23	5011	105011	0
object	24	5084	105084	0
object	25	5112	105112	0
object	26	5012	105012	0
object	27	5013	105013	0
object	28	5014	105014	0
object	29	5015	105015	0
object	30	5138	105138	0
object	31	5138	105138	0
object	32	5138	105138	0
object	33	5142	105142	0
object	34	5016	105016	0
object	35	5094	105094	0
object	36	5093	105093	0
object	37	5069	105069	0
object	38	5068	105068	0
object	39	5085	105085	0
object	40	5101	105101	0
object	41	5104	105104	0
object	42	5097	105097	0
object	43	5017	105017	0
object	44	5018	105018	0
object	45	5144	105144	0
object	46	5105	105105	0
object	47	5144	105144	0
object	48	5406	105406	0
object	49	5169	105169	0
object	50	5149	105149	0
object	51	5144	105144	0
object	52	5000	105000	0
object	53	5072	105072	0
object	54	5067	105067	0
object	55	5020	105020	0
object	56	5499	105499	0
object	57	5499	105499	0
object	58	5000	105000	0
object	59	5401	105401	0
object	60	5000	105000	0
object	61	5021	105021	0
object	62	5022	105022	0
object	63	5185	105185	0
object	64	5185	105185	0
object	65	5071	105071	0
object	66	5400	105400	0
object	67	5185	105185	0
object	68	5157	105157	0
object	69	5501	105501	0
object	70	5344	105344	0
object	71	5164	105164	0
object	72	5202	105202	0
object	73	5102	105102	0
object	74	5079	105079	0
object	75	5080	105080	0
object	76	5077	105077	0
object	77	5081	105081	0
object	78	5185	105185	0
object	79	5178	105178	0
object	80	5185	105185	0
object	81	5185	105185	0
object	82	5142	105142	0
object	83	5121	105121	0
object	84	5161	105161	0
object	85	5185	105185	0
object	86	5171	105171	0
object	87	5128	105128	0
object	88	5185	105185	0
object	89	5553	105553	0
object	90	5185	105185	0
object	91	5185	105185	0
object	92	5185	105185	0
object	93	5078	105078	0
object	94	5076	105076	0
object	95	5185	105185	0
object	96	5073	105073	0
